Respondent_ID,Full Name,Age,Gender,City,Monthly Salary,Satisfaction Score,Join Date,Remote Worker?,Email Address
44,Denise Dean,Unknown,Female ,Toronto ,"$65,000.00",Average,2022-08-15,No,timothy33@yahoo.com
45,Beth Holloway,Unknown,Male,Toronto ,Unknown,Unknown,2022-08-15,Yes,Unknown
46,Dr. Allison Macias,34.0,Female ,Montreal,"$65,000.00",Excellent,2022-08-15,No,bakerchristopher@brady.com
47,Javier Moreno,Unknown,Female,Toronto,Unknown,Poor,2023-03-15,Yes ,glong@yahoo.com
48,Chase Perez,Unknown,Female,Vancouver,Unknown,Excellent,2022-08-15,No,millerdouglas@gmail.com
49,Samantha Ryan,Unknown,Male,Vancouver,Unknown,Very Poor,2023-03-15,No,Unknown
50,Nicole Lucero,25.0,Female ,Toronto,"$65,000.00",Excellent,2024-01-10,No,vincentwhitaker@jordan.com
51,Kristin Smith,45.0,Male,Toronto,"$55,000.00",Excellent,2023-03-15,No,sandra77@hotmail.com
52,Laura Anderson,25.0,Male,Toronto,Unknown,Poor,2023-03-15,No,jwallace@gmail.com
53,Jodi Shelton,25.0,Male,Toronto,Unknown,Poor,Unknown,No,taylordenise@yahoo.com
54,Billy Chaney,25.0,Female,Toronto ,Unknown,Excellent,2024-01-10,No,Unknown
55,Kevin David,45.0,Female,Toronto,Unknown,Good,Unknown,No,Unknown
56,Juan Smith,34.0,Female,Calgary,"$55,000.00",Excellent,2024-01-10,No,ojohnson@jones.com
57,Kevin Holmes,25.0,Female ,Calgary,"$65,000.00",Excellent,2022-08-15,Yes,sreynolds@yahoo.com
58,Ashley Romero,34.0,Female ,Montreal,Unknown,Good,Unknown,No,sdavis@brown-wilson.biz
59,Sean Smith,Unknown,Female ,Montreal,"$55,000.00",Very Poor,2023-03-15,Yes,Unknown
60,Walter Robles,Unknown,Female,Toronto,"$55,000.00",Excellent,2023-03-15,No,Unknown
61,Olivia Nunez,25.0,Female,Montreal,"$65,000.00",Good,2023-03-15,Yes,Unknown
63,Sean Gardner,25.0,Female,Toronto ,Unknown,Excellent,2024-01-10,No,stevensisabel@yahoo.com
64,Gerald Brown,Unknown,Female ,Toronto ,Unknown,Excellent,Unknown,Yes ,acevedocarlos@morton-brown.net
65,Catherine Aguilar,34.0,Female,Montreal,"$65,000.00",Unknown,Unknown,No,ryan09@hotmail.com
66,Regina Williams,Unknown,Female,Montreal,"$55,000.00",Average,2022-08-15,No,Unknown
67,Elizabeth Newton,Unknown,Female,Toronto,"$55,000.00",Excellent,2024-01-10,Yes,Unknown
68,Paul Sweeney,45.0,Female,Calgary,"$65,000.00",Good,2023-03-15,No,robinsontheresa@krause-robles.info
69,Carol Cunningham,45.0,Male,Toronto,"$55,000.00",Average,2023-03-15,Yes,Unknown
70,Judy Ross,Unknown,Male,Toronto,Unknown,Average,Unknown,No,leahhebert@rivas-hughes.biz
71,Breanna Wagner,25.0,Female ,Calgary,"$55,000.00",Poor,2022-08-15,Yes,Unknown
72,Amber Nguyen,Unknown,Female,Toronto,"$55,000.00",Very Poor,2024-01-10,No,angelacurtis@hotmail.com
73,Kelly Gutierrez,Unknown,Female,Montreal,"$55,000.00",Poor,2024-01-10,Yes,atkinsonrhonda@yahoo.com
74,Jessica Romero,Unknown,Female ,Montreal,Unknown,Good,Unknown,Yes,silvastacy@mcdowell-williams.com
75,Pamela Spears,45.0,Male,Vancouver,Unknown,Poor,2024-01-10,No,riverasandra@henry.info
76,Susan Campbell,34.0,Male,Vancouver,Unknown,Good,2023-03-15,Yes ,grayrobert@hotmail.com
77,Mrs. Danielle Rush,25.0,Male,Calgary,"$55,000.00",Excellent,2024-01-10,Yes ,sharonbrown@adams.com
78,William Williams,Unknown,Male,Montreal,"$55,000.00",Unknown,Unknown,Yes,Unknown
79,Seth Reynolds,Unknown,Female,Calgary,Unknown,Excellent,2023-03-15,No,fosterjill@yahoo.com
80,Karen Silva,Unknown,Female,Calgary,"$55,000.00",Very Poor,2024-01-10,No,christian42@heath-vang.com
81,Jonathan Allen,34.0,Male,Calgary,Unknown,Excellent,2022-08-15,No,kwhite@gmail.com
82,Erika Brooks,34.0,Male,Montreal,"$65,000.00",Unknown,2024-01-10,Yes ,Unknown
83,Vincent Goodwin,25.0,Male,Calgary,"$55,000.00",Unknown,2024-01-10,No,nicholas11@yahoo.com
84,Timothy Moore,34.0,Male,Toronto ,"$55,000.00",Unknown,Unknown,Yes,shepparddavid@thompson-barnes.net
85,Erica Brown,25.0,Female ,Calgary,"$55,000.00",Good,2022-08-15,Yes,Unknown
86,Jonathan Roberts,Unknown,Male,Vancouver,"$55,000.00",Good,2022-08-15,Yes,campbelljustin@yahoo.com
87,Elizabeth Jones,45.0,Male,Calgary,"$65,000.00",Good,2022-08-15,No,tbarnes@gmail.com
88,Vanessa Garner,45.0,Female ,Toronto,"$65,000.00",Good,2022-08-15,No,ccole@gmail.com
89,Benjamin Griffith,25.0,Male,Montreal,"$55,000.00",Poor,Unknown,Yes ,Unknown
90,Charles Weiss,Unknown,Female ,Toronto,"$55,000.00",Very Poor,2023-03-15,No,Unknown
91,Gregory Smith,Unknown,Female ,Toronto ,"$55,000.00",Good,2022-08-15,Yes ,Unknown
92,Wendy Mcmillan,45.0,Female,Montreal,Unknown,Poor,2024-01-10,Yes,Unknown
93,Ashley Jacobs,Unknown,Male,Toronto,Unknown,Good,2022-08-15,No,Unknown
94,Michael Erickson,25.0,Female,Montreal,Unknown,Poor,2023-03-15,Yes,Unknown
95,Samantha Butler,Unknown,Female,Toronto,"$55,000.00",Unknown,Unknown,No,natasha97@jones-walker.biz
96,Sarah Burke,34.0,Female ,Calgary,"$65,000.00",Poor,Unknown,No,zsanchez@madden.com
97,Kirk Davis,Unknown,Female,Toronto,Unknown,Excellent,2023-03-15,No,huffangela@yahoo.com
99,Ryan Thompson,25.0,Female ,Toronto,"$65,000.00",Poor,2022-08-15,No,michellejohnson@gmail.com
100,Natalie Carter,Unknown,Male,Calgary,Unknown,Excellent,2024-01-10,No,Unknown
101,Crystal York,45.0,Female ,Vancouver,Unknown,Very Poor,Unknown,No,bradley64@williams-zuniga.biz
102,Brenda Rodriguez,Unknown,Male,Vancouver,"$55,000.00",Excellent,Unknown,Yes,Unknown
103,Jeffery Brewer,Unknown,Male,Toronto,Unknown,Good,2024-01-10,No,mike34@young-johnson.com
104,Christopher Lopez,Unknown,Male,Toronto,"$65,000.00",Excellent,2022-08-15,Yes ,sarah87@hotmail.com
105,Stephen Bullock,Unknown,Female ,Toronto ,"$65,000.00",Excellent,Unknown,No,holly08@yahoo.com
106,Valerie Brown,25.0,Female ,Calgary,"$65,000.00",Average,2023-03-15,No,richard79@yahoo.com
107,Alexa Gregory,25.0,Female,Toronto,"$55,000.00",Excellent,2023-03-15,Yes,jamesmorales@wolfe.biz
108,Erik Johnson,34.0,Female,Toronto ,Unknown,Very Poor,2024-01-10,No,Unknown
109,Stephen Thomas,34.0,Female ,Toronto,"$65,000.00",Good,2024-01-10,Yes,Unknown
110,Hunter Arnold,Unknown,Male,Toronto,"$55,000.00",Average,2024-01-10,No,jenkinsdeborah@hotmail.com
111,Michael Williams,45.0,Male,Toronto,Unknown,Good,2024-01-10,No,davidsondavid@hodges.com
112,Jill Rodriguez,34.0,Male,Montreal,Unknown,Good,2024-01-10,Yes,zhuber@hotmail.com
113,Theresa Harrison,Unknown,Female,Montreal,"$55,000.00",Poor,Unknown,No,gibsonjacqueline@davis-johnson.biz
114,Steven Bryant DDS,Unknown,Female ,Toronto,Unknown,Excellent,Unknown,No,ovalentine@mitchell.biz
115,Stephanie Fuller,45.0,Female,Toronto,"$55,000.00",Good,2024-01-10,No,Unknown
116,Donna George,34.0,Female ,Toronto ,"$55,000.00",Poor,2022-08-15,Yes ,ffrancis@anderson.net
117,Francisco Williams,34.0,Female,Vancouver,"$55,000.00",Very Poor,2023-03-15,Yes ,Unknown
118,Hailey Mathis,Unknown,Female,Toronto,"$55,000.00",Poor,Unknown,Yes,tmartinez@parker.info
119,Jill King,Unknown,Male,Toronto ,"$65,000.00",Average,2023-03-15,Yes,jperry@roberson-shah.net
119,Heather Anderson,25.0,Male,Toronto ,"$55,000.00",Poor,Unknown,Yes,cindy05@lin-carter.info
120,Cristian Holmes,25.0,Female,Calgary,"$55,000.00",Poor,2024-01-10,No,nicole53@hotmail.com
121,Belinda Brown,Unknown,Female,Montreal,"$55,000.00",Unknown,2024-01-10,Yes ,Unknown
122,Melissa Lee,25.0,Female ,Toronto,"$65,000.00",Poor,2022-08-15,No,vickie15@stephens.com
123,Tammy Garrison,34.0,Female ,Calgary,"$55,000.00",Poor,2024-01-10,Yes,Unknown
125,Ronald Allen,34.0,Male,Toronto,Unknown,Unknown,2023-03-15,No,jasmine81@lester.info
126,Linda Davis,Unknown,Male,Toronto ,"$65,000.00",Good,2024-01-10,No,christy68@gmail.com
128,Shirley Morrow,34.0,Female,Toronto ,"$65,000.00",Excellent,2022-08-15,No,sean04@fernandez-smith.com
129,Dawn Evans,34.0,Male,Toronto,Unknown,Average,2024-01-10,No,tyrone93@bailey.org
130,Lindsey Miller,Unknown,Female,Calgary,Unknown,Poor,2022-08-15,No,boydmindy@murray.com
131,Monica Sanchez,25.0,Male,Toronto,"$55,000.00",Good,2024-01-10,Yes ,mwinters@zhang-reynolds.com
132,James Matthews,Unknown,Male,Calgary,Unknown,Poor,2022-08-15,No,steveblanchard@gmail.com
133,Randy Rogers,Unknown,Male,Vancouver,Unknown,Excellent,2022-08-15,No,kathleengarcia@gmail.com
134,Michael Cuevas,45.0,Female,Calgary,Unknown,Poor,2023-03-15,No,rodriguezdanielle@davidson.info
134,Michael Pittman PhD,34.0,Female ,Toronto,"$55,000.00",Unknown,2024-01-10,Yes ,jmoore@yahoo.com
135,Diana Hall,Unknown,Male,Calgary,"$55,000.00",Average,2024-01-10,No,cwilson@yahoo.com
136,Isaac Rodriguez,34.0,Male,Calgary,Unknown,Unknown,Unknown,No,owenandrew@gmail.com
137,Annette Elliott,Unknown,Male,Montreal,"$55,000.00",Poor,2024-01-10,Yes,emilyfranco@martin.net
138,Stephanie Jones,Unknown,Female,Toronto,"$55,000.00",Poor,2024-01-10,Yes ,Unknown
139,Jessica Hill,Unknown,Female ,Calgary,Unknown,Average,Unknown,Yes,Unknown
140,Taylor Hoover,25.0,Male,Calgary,"$65,000.00",Very Poor,2022-08-15,No,Unknown
141,Nicole Morgan,45.0,Male,Toronto ,Unknown,Poor,2023-03-15,Yes ,anitawright@yahoo.com
142,Aaron Lara,34.0,Male,Toronto,Unknown,Good,2024-01-10,No,cashley@hancock-smith.com
143,Sierra Miller,Unknown,Male,Vancouver,"$65,000.00",Good,2024-01-10,No,jeffreycampbell@peterson.biz
144,Amber Gardner,25.0,Female ,Toronto,Unknown,Good,2022-08-15,Yes,Unknown
145,Tanya Estrada,34.0,Male,Montreal,Unknown,Excellent,Unknown,Yes,Unknown
146,Joel Flowers,34.0,Female,Toronto,Unknown,Good,2024-01-10,Yes ,fstevens@ellis-smith.com
147,Kerry Kaiser,Unknown,Female ,Toronto,"$55,000.00",Poor,2024-01-10,Yes ,mercadodonna@boyd.com
148,Courtney Rogers,25.0,Female ,Toronto,"$65,000.00",Good,2022-08-15,Yes ,andreasmith@mack-moore.com
149,Rachel Norton,25.0,Male,Toronto ,"$55,000.00",Good,2023-03-15,Yes,epetersen@hotmail.com
150,Kathryn Bridges,Unknown,Female,Vancouver,"$55,000.00",Good,Unknown,No,uingram@hotmail.com
