Respondent_ID,Full Name,Age,Gender,City,Monthly Salary,Satisfaction Score,Join Date,Remote Worker?,Email Address
117,Francisco Williams,34,Female,Vancouver,55000,1,03/15/2023,yes ,
118,Hailey Mathis,,Female,Toronto,55000,2,not available,Yes, tmartinez@parker.info 
119,Heather Anderson,25,male,TORONTO ,55000,2,not available,Y,CINDY05@LIN-CARTER.INFO
120,Cristian Holmes,25,F,Calgary,55000,2,2024-01-10,No,nicole53@hotmail.com
121,Belinda Brown,,F,Montreal,55000,,2024-01-10,yes ,
122,Melissa Lee,25,female ,Toronto,"$65,000.00",2,15-08-2022,N,VICKIE15@STEPHENS.COM
123,Tammy Garrison,34,female ,Calgary,55000,Poor,2024-01-10,Y,
18,Adam Jacobs,unknown,Male,Calgary,"$65,000.00",Good,15-08-2022,Y,
125,Ronald Allen,34,Male,toronto,,,03/15/2023,N,jasmine81@lester.info
126,Linda Davis,,male,TORONTO ,"$65,000.00",4,2024-01-10,N, christy68@gmail.com 
119,Jill King,,Male,TORONTO ,"$65,000.00",3,03/15/2023,Yes,JPERRY@ROBERSON-SHAH.NET
128,Shirley Morrow,34,F,TORONTO ,"$65,000.00",Excellent,15-08-2022,No,sean04@fernandez-smith.com
129,Dawn Evans,34,Male,toronto,,3,2024-01-10,N,TYRONE93@BAILEY.ORG
130,Lindsey Miller,,Female,Calgary,,Poor,15-08-2022,N,boydmindy@murray.com
131,Monica Sanchez,25,M,toronto,55000,Good,2024-01-10,yes ,mwinters@zhang-reynolds.com
132,James Matthews,,M,Calgary,N/A,2,15-08-2022,no,STEVEBLANCHARD@GMAIL.COM
133,Randy Rogers,,Male,Vancouver,N/A,Excellent,15-08-2022,no, kathleengarcia@gmail.com 
134,Michael Pittman PhD,34,female ,Toronto,55000,,2024-01-10,yes ,jmoore@yahoo.com
135,Diana Hall,unknown,Male,Calgary,55000,3,2024-01-10,no, cwilson@yahoo.com 
136,Isaac Rodriguez,34,male,Calgary,N/A,,not available,N,owenandrew@gmail.com
137,Annette Elliott,,Male,Montreal,55000,Poor,2024-01-10,Yes,emilyfranco@martin.net
138,Stephanie Jones,,F,Toronto,55000,Poor,2024-01-10,yes ,
139,Jessica Hill,,female ,Calgary,N/A,3,not available,Y,
140,Taylor Hoover,25,male,Calgary,"$65,000.00",1,15-08-2022,No,
141,Nicole Morgan,45 years,male,TORONTO ,N/A,Poor,03/15/2023,yes ,ANITAWRIGHT@YAHOO.COM
142,Aaron Lara,34,Male,Toronto,,4,2024-01-10,No, cashley@hancock-smith.com 
143,Sierra Miller,,Male,Vancouver,"$65,000.00",4,2024-01-10,No,JEFFREYCAMPBELL@PETERSON.BIZ
144,Amber Gardner,25,female ,Toronto,,Good,15-08-2022,Y,
145,Tanya Estrada,34,male,Montreal,,Excellent,not available,Yes,
146,Joel Flowers,34,Female,toronto,,4,2024-01-10,yes ,fstevens@ellis-smith.com
147,Kerry Kaiser,unknown,female ,toronto,55000,Poor,2024-01-10,yes ,MERCADODONNA@BOYD.COM
148,Courtney Rogers,25,female ,toronto,"$65,000.00",Good,15-08-2022,yes ,andreasmith@mack-moore.com
149,Rachel Norton,25,M,TORONTO ,55000,4,03/15/2023,Yes,EPETERSEN@HOTMAIL.COM
150,Kathryn Bridges,,F,Vancouver,55000,Good,not available,No, uingram@hotmail.com 
15,Joshua Matthews,,male,Montreal,"$65,000.00",Excellent,not available,yes ,
99,Ryan Thompson,25,female ,Toronto,"$65,000.00",Poor,15-08-2022,no,MICHELLEJOHNSON@GMAIL.COM
76,Susan Campbell,34,male,Vancouver,N/A,4,03/15/2023,yes ,GRAYROBERT@HOTMAIL.COM
17,Wanda Butler,25,F,toronto,,1,15-08-2022,No, amorgan@maldonado.net 
132,James Matthews,,M,Calgary,N/A,2,15-08-2022,no,STEVEBLANCHARD@GMAIL.COM
57,Kevin Holmes,25,female ,Calgary,"$65,000.00",Excellent,15-08-2022,Yes, sreynolds@yahoo.com 
142,Aaron Lara,34,Male,Toronto,,4,2024-01-10,No, cashley@hancock-smith.com 
45,Beth Holloway,,Male,TORONTO ,N/A,,15-08-2022,Y,
30,Erin Melton,45 years,female ,Toronto,,2,not available,Yes, wendy83@hotmail.com 
121,Belinda Brown,,F,Montreal,55000,,2024-01-10,yes ,
